latitude,longitude,Stadium_200,Food_500,Athletics_Sports_200,Parking_500,Shop_Service_500,Clothing_Store_200,Bus_Stop_200,Metro_Station_200
35.69840315,-105.9031717,0,0,0,0,0,0,0,0
35.70292709,-105.9088375,0,0,0,0,0,0,0,0
35.70745124,-105.9145045,0,0,0,0,0,0,0,0
35.71197562,-105.9201728,0,1,0,0,0,0,0,0
35.71650022,-105.9258423,0,1,0,0,0,0,0,0
35.6876164,-105.8994771,0,0,0,0,0,0,0,0
35.69213934,-105.9051415,0,0,0,0,0,0,0,0
35.6966625,-105.9108071,0,0,0,0,0,0,0,0
35.70118589,-105.916474,0,0,0,0,0,0,0,0
35.70570949,-105.9221421,0,0,0,0,0,0,0,0
35.71023331,-105.9278115,0,0,0,0,0,0,0,0
35.71475736,-105.9334822,0,1,0,0,0,0,0,0
35.71928162,-105.9391542,0,0,0,0,0,0,0,0
35.68135351,-105.9014458,0,1,0,0,0,0,0,0
35.68587568,-105.9071101,0,1,0,0,0,0,0,0
35.69039807,-105.9127756,0,0,0,0,0,0,0,0
35.69492068,-105.9184423,0,0,0,0,0,0,0,0
35.69944351,-105.9241104,0,0,0,0,1,0,0,0
35.70396656,-105.9297797,0,0,0,0,2,0,0,0
35.70848983,-105.9354502,0,0,0,0,1,0,0,0
35.71301332,-105.941122,0,0,0,0,0,0,0,0
35.71753704,-105.9467951,0,0,0,0,0,0,0,0
35.67509078,-105.9034134,0,0,0,0,0,0,0,0
35.67961218,-105.9090776,0,1,0,0,0,0,0,0
35.6841338,-105.9147429,0,0,0,0,0,0,0,0
35.68865563,-105.9204096,0,0,0,0,0,0,0,0
35.69317769,-105.9260775,0,1,0,0,0,0,0,0
35.69769997,-105.9317466,0,0,0,0,0,0,0,0
35.70222247,-105.9374171,0,0,0,0,1,0,0,0
35.70674519,-105.9430888,0,0,0,0,0,0,0,0
35.71126812,-105.9487617,0,0,0,0,0,0,0,0
35.71579128,-105.9544359,0,0,0,0,0,0,0,0
35.67334883,-105.9110439,0,0,0,0,0,0,0,0
35.67786968,-105.9167091,0,0,1,0,0,0,0,0
35.68239074,-105.9223757,0,8,0,0,11,0,0,0
35.68691203,-105.9280434,0,10,0,0,32,0,0,0
35.69143353,-105.9337125,0,35,2,0,33,0,0,0
35.69595526,-105.9393828,0,2,0,0,3,0,0,0
35.7004772,-105.9450543,0,0,0,0,4,0,0,0
35.70499937,-105.9507272,0,0,1,0,2,0,0,0
35.70952175,-105.9564013,0,0,0,0,0,0,0,0
35.66708564,-105.9130091,0,1,0,0,1,0,0,0
35.67160572,-105.9186742,0,0,0,0,0,0,0,0
35.67612601,-105.9243406,0,5,0,0,4,0,0,0
35.68064652,-105.9300082,0,11,0,0,26,0,0,0
35.68516725,-105.9356772,0,50,1,2,50,6,0,0
35.6896882,-105.9413473,0,50,1,3,50,6,1,0
35.69420937,-105.9470188,0,32,0,0,40,0,0,0
35.69873077,-105.9526915,0,7,2,0,15,0,0,0
35.70325238,-105.9583655,0,0,0,0,0,0,0,0
35.7077742,-105.9640407,0,0,0,0,0,0,0,0
35.66534191,-105.9206381,0,2,0,0,0,0,0,0
35.66986143,-105.9263044,0,1,0,0,1,0,0,0
35.67438117,-105.9319719,0,0,0,0,1,0,0,0
35.67890113,-105.9376407,0,16,0,0,21,3,0,0
35.68342131,-105.9433108,0,50,1,3,50,2,0,0
35.6879417,-105.9489821,0,46,1,2,46,1,0,0
35.69246232,-105.9546547,0,26,0,0,43,0,0,0
35.69698316,-105.9603285,0,1,0,0,0,0,0,0
35.70150422,-105.9660036,0,0,0,0,0,0,0,0
35.65907826,-105.9226009,0,0,0,0,0,0,0,0
35.66359701,-105.9282671,0,2,0,0,1,0,0,0
35.66811597,-105.9339345,0,2,1,0,0,0,0,0
35.67263516,-105.9396031,0,1,0,0,1,0,0,0
35.67715456,-105.9452731,0,22,0,0,33,0,0,0
35.68167419,-105.9509443,0,40,2,0,48,0,0,0
35.68619403,-105.9566167,0,14,0,0,21,0,0,0
35.6907141,-105.9622905,0,11,0,0,12,0,0,0
35.69523438,-105.9679654,0,0,0,0,0,0,0,0
35.69975488,-105.9736417,0,0,0,0,0,0,0,0
35.65733274,-105.9302286,0,0,0,0,0,0,0,0
35.66185093,-105.9358959,0,1,0,0,0,0,0,0
35.66636935,-105.9415644,0,2,0,0,1,0,0,0
35.67088798,-105.9472342,0,13,0,0,33,1,0,0
35.67540683,-105.9529053,0,41,2,0,43,2,0,0
35.6799259,-105.9585776,0,11,1,0,30,0,0,0
35.6844452,-105.9642512,0,2,0,0,11,0,0,0
35.68896471,-105.9699261,0,1,0,0,3,0,0,0
35.69348444,-105.9756022,0,0,0,0,1,0,0,0
35.65558605,-105.9378561,0,1,0,0,4,0,0,0
35.66010369,-105.9435246,0,1,0,0,10,0,0,0
35.66462155,-105.9491942,0,1,0,0,6,0,0,0
35.66913963,-105.9548652,0,12,1,0,30,0,0,0
35.67365793,-105.9605374,0,12,2,0,38,0,0,0
35.67817645,-105.9662109,0,5,0,0,11,0,0,0
35.68269519,-105.9718856,0,0,0,0,2,0,0,0
35.68721414,-105.9775616,0,0,0,0,0,0,0,0
35.65835528,-105.9511531,0,1,0,0,13,0,0,0
35.66287259,-105.956824,0,13,0,0,36,0,0,0
35.66739011,-105.962496,0,14,1,0,37,0,0,0
35.67190786,-105.9681694,0,8,0,0,33,0,0,0
35.67642582,-105.973844,0,1,0,0,0,0,0,0
